code_paiement;date_paiement;filiale;fournisseur;montant;type_paiement;statut;banque;numero_compte;beneficiaire;reference;notes
;26/11/2024;LE ROI DES CHANTIERS;GIPA GABONAISE D'IMPRIMERIE ET DE PAPETERIE SA;523.000,00;Chèque;Validé;ORABANK LRC;;GIPA GABONAISE D'IMPRIMERIE ET DE PAPETERIE SA;;CHQ no. 5296001 Banque: BGFI Bank Gabon GABONAISE D IMPRIMERIE ET DE P
;26/11/2024;LE ROI DES CHANTIERS;GABONESE BEST NATURAL SOURCE;7.259.952,00;Chèque;Validé;ORABANK LRC;;GABONESE BEST NATURAL SOURCE;;CHQ no. 5296005 Banque: UBA GABON
;27/11/2024;LE ROI DES CHANTIERS;GABON TELECOM;10.294.581,00;Chèque;Validé;ORABANK LRC;;GABON TELECOM;;CHQ no. 5295997 Banque: UBA GABON
;27/11/2024;LE ROI DES CHANTIERS;GABON MECA;2.657.534,00;Chèque;Validé;ORABANK LRC;;GABON MECA;;CHQ no. 5295999 Banque: UGB GABON MECA
;28/11/2024;LE ROI DES CHANTIERS;GRATRALH;1.700.000,00;Chèque;Validé;ORABANK LRC;;GRATRALH;;5295980 Ret cheq N° 5295980 du 28/11/2024 KABORE MOUSTAPHA
;28/11/2024;LE ROI DES CHANTIERS;CFAO Comptoir Francais De L'Afrique Occidentale;3.008.082,00;Chèque;Validé;ORABANK LRC;;CFAO Comptoir Francais De L'Afrique Occidentale;;CHQ no. 5296006 Banque: CitiBank N.A. Gabon CFAO CA CFA
;29/11/2024;LE ROI DES CHANTIERS;MBOLO SAMBA;4.780.000,00;Chèque;Validé;ORABANK LRC;;MBOLO SAMBA;;CHQ no. 5295998 Banque: BGFI Bank Gabon MBOLO SAMBA ELECTROMENAGERS
;03/12/2024;LE ROI DES CHANTIERS;Maison de la Presse;1.140.975,00;Chèque;Validé;ORABANK LRC;;Maison de la Presse;;CHQ no. 5296000 Banque: BGFI Bank Gabon IPC LA MAISON DE LA PRESSE
;03/12/2024;LE ROI DES CHANTIERS;Centr'affaires;1.253.000,00;Chèque;Validé;BGFI LRC;;Centr'affaires;;CHEQUE NO  8878613
;05/12/2024;LE ROI DES CHANTIERS;S BAC IMMO;2.745.000,00;Chèque;Validé;ORABANK LRC;;S BAC IMMO;;5296012 Ret cheq N° 5296012 du 05/12/2024 MR GBESSINON JOSEPH
;05/12/2024;LE ROI DES CHANTIERS;Toilettes Express BTP;10.000.000,00;Chèque;Validé;ORABANK LRC;;Toilettes Express BTP;;5296015 Ret cheq N° 5296015 du 05/12/2024 MR AKOULOU EYELEKO CLAUDE
;09/12/2024;LE ROI DES CHANTIERS;TRACTAFRIC EQUIPMENT GABON;35.845.556,00;Traite;Validé;AFG LRC;;TRACTAFRIC EQUIPMENT GABON;;EFFETS A L'ENCAISSEMENT- REGLEMENT
;10/12/2024;LE ROI DES CHANTIERS;Centr'affaires;5.793.933,00;Chèque;Validé;ORABANK LRC;;Centr'affaires;;CHQ no. 5296020 Banque: UGB CENTR'AFFAIRES DISTRIBUTION S,
;11/12/2024;LE ROI DES CHANTIERS;SELECT;1.110.800,00;Chèque;Validé;ORABANK LRC;;SELECT;;CHQ no. 5296014 Banque: UBA GABON
;12/12/2024;LE ROI DES CHANTIERS;SAFE HOUSE SARL;1.064.500,00;Chèque;Validé;ORABANK LRC;;SAFE HOUSE SARL;;CHQ no. 5296022 Banque: UBA GABON
;16/12/2024;LE ROI DES CHANTIERS;Centr'affaires;4.280.000,00;Chèque;Validé;ORABANK LRC;;Centr'affaires;;CHQ no. 5296024 Banque: UGB CENTR'AFFAIRES DISTRIBUTION S,
;16/12/2024;LE ROI DES CHANTIERS;SUNU ASSURANCES;1.477.812,00;Chèque;Validé;ORABANK LRC;;SUNU ASSURANCES;;CHQ no. 5296028 Banque: BGFI Bank Gabon SUNU ASSURANCES IARD GABON
;16/12/2024;LE ROI DES CHANTIERS;BATIPLUS;43.337.208,00;Traite;Validé;AFG LRC;;BATIPLUS;;EFFETS A L'ENCAISSEMENT- REGLEMENT
;17/12/2024;LE ROI DES CHANTIERS;GABOIL;46.200.000,00;Chèque;Validé;ORABANK LRC;;GABOIL;;Paiement chèq. ORABK No. 5296029 faveur : GAB' OIL
;17/12/2024;LE ROI DES CHANTIERS;SELECT;1.141.300,00;Chèque;Validé;ORABANK LRC;;SELECT;;CHQ no. 5296021 Banque: UBA GABON
;17/12/2024;LE ROI DES CHANTIERS;ORCA DECO;1.068.100,00;Chèque;Validé;ORABANK LRC;;ORCA DECO;;Chq ORABANK No. 5296025 Benef: ORCA DECO GAB
;06/01/2025;LE ROI DES CHANTIERS;GROUPE GABON BUSINESS INTERNATIONAL GGBI;36.387.052,00;Virement;Validé;BGFI LRC;;GROUPE GABON BUSINESS INTERNATIONAL GGBI;;VIR.EMIS  GROUPE GABON BATIMEN
;06/01/2025;LE ROI DES CHANTIERS;EFTC - ENTREPRISE FAMILLE TEMBEKA CONSTRUCTION;94.267.925,00;Virement;Validé;BGFI LRC;;EFTC - ENTREPRISE FAMILLE TEMBEKA CONSTRUCTION;;VIREMENT MUL AUTRE BQE
;07/01/2025;LE ROI DES CHANTIERS;CABINET JURIS-CONSULT & PARTNERS;15.000.000,00;Chèque;Validé;BGFI LRC;;CABINET JURIS-CONSULT & PARTNERS;;RETRAIT CH 8878621
;07/01/2025;LE ROI DES CHANTIERS;COBEN GABON;50.000.000,00;Chèque;Validé;BGFI LRC;;COBEN GABON;;CHEQUE NO  8878669
;07/01/2025;LE ROI DES CHANTIERS;LV EQUIPEMENT SERVICE;71.710.000,00;Chèque;Validé;BGFI LRC;;LV EQUIPEMENT SERVICE;;CHEQUE NO  8878667
;08/01/2025;LE ROI DES CHANTIERS;Toilettes Express BTP;10.000.000,00;Chèque;Validé;BGFI LRC;;Toilettes Express BTP;;RETRAIT CH 8879188
;08/01/2025;LE ROI DES CHANTIERS;LEME-CONSTRUCTION;30.000.000,00;Chèque;Validé;BGFI LRC;;LEME-CONSTRUCTION;;RETRAIT CH 8879186
;08/01/2025;LE ROI DES CHANTIERS;BATIPLUS;281.000.000,00;Virement;Validé;BGFI LRC;;BATIPLUS;;VIR.MULT. FOURNISSEUR/VIREMENT
;08/01/2025;LE ROI DES CHANTIERS;GTG - GABONAISE DES TRAVAUX GENERAUX;3.000.000,00;Chèque;Validé;BGFI LRC;;GTG - GABONAISE DES TRAVAUX GENERAUX;;CHEQUE NO  8878672
;08/01/2025;LE ROI DES CHANTIERS;TOYOTA GABON;38.315.000,00;Traite;Validé;AFG LRC;;TOYOTA GABON;;VIREMENT EFFET A L'ENCAISSEMENT FAVEUR TOYOTA GABON ECHEANCE  DU 05/12/2024
;08/01/2025;LE ROI DES CHANTIERS;TRACTAFRIC EQUIPMENT GABON;35.845.556,00;Traite;Validé;AFG LRC;;TRACTAFRIC EQUIPMENT GABON;;EFFETS A L'ENCAISSEMENT- REGLEMENT
;08/01/2025;LE ROI DES CHANTIERS;TOYOTA GABON;38.315.000,00;Traite;Validé;AFG LRC;;TOYOTA GABON;;EFFETS A L'ENCAISSEMENT- REGLEMENT
;08/01/2025;LE ROI DES CHANTIERS;BERNABE GABON SA;30.000.000,00;Traite;Validé;AFG LRC;;BERNABE GABON SA;;VIREMENT EFFET A L'ENCAISSEMENT FAVEUR BERNABE ECHEANCE DU  15/12/2024
;08/01/2025;LE ROI DES CHANTIERS;SODIM TP;29.900.000,00;Traite;Validé;AFG LRC;;SODIM TP;;VIREMENT EFFET A L'ENCAISSEMENT FAVEUR SODIM TP ECHEANCE DU  05/12/2024 REF: 016168
;09/01/2025;LE ROI DES CHANTIERS;TAYAM EVENT;4.575.000,00;Chèque;Validé;BGFI LRC;;TAYAM EVENT;;CHEQUE NO  8878622
;10/01/2025;LE ROI DES CHANTIERS;CISSOKO ALFOUSSEYNI;3.315.045,00;Chèque;Validé;BGFI LRC;;CISSOKO ALFOUSSEYNI;;CHEQUE NO  8879178
;10/01/2025;LE ROI DES CHANTIERS;LEADS GLOBAL SARL;6.000.000,00;Chèque;Validé;BGFI LRC;;LEADS GLOBAL SARL;;CHEQUE NO  8878675
;10/01/2025;LE ROI DES CHANTIERS;PYRAMID ENGINEERING;12.536.236,00;Chèque;Validé;BGFI LRC;;PYRAMID ENGINEERING;;CHEQUE NO  8879176
;13/01/2025;LE ROI DES CHANTIERS;PYRAMID ENGINEERING;11.276.056,00;Chèque;Validé;BGFI LRC;;PYRAMID ENGINEERING;;CHEQUE NO  8879177
;14/01/2025;LE ROI DES CHANTIERS;SARL AMIRA TRADING;150.000.000,00;Cash;Validé;CASH LE ROI DES CHANTIERS;;SARL AMIRA TRADING;;REGLEMENT ACOMPTE SUR FACTURE 17F28082024 AMIRA TRADING // M. COMI PODAR
;14/01/2025;LE ROI DES CHANTIERS;COMETAL;3.600.000,00;Chèque;Validé;BGFI LRC;;COMETAL;;RETRAIT CH 8879217
;14/01/2025;LE ROI DES CHANTIERS;LV EQUIPEMENT SERVICE;71.962.500,00;Chèque;Validé;BGFI LRC;;LV EQUIPEMENT SERVICE;;CHEQUE NO  8879199
;14/01/2025;LE ROI DES CHANTIERS;Société Gabonaise de Sécurité Industrielle;4.634.847,00;Chèque;Validé;BGFI LRC;;Société Gabonaise de Sécurité Industrielle;;CHEQUE NO  8879216
;14/01/2025;LE ROI DES CHANTIERS;SELECT;738.350,00;Chèque;Validé;BGFI LRC;;SELECT;;CHEQUE NO  8879205
;14/01/2025;LE ROI DES CHANTIERS;TTIB;3.704.910,00;Chèque;Validé;BGFI LRC;;TTIB;;CHEQUE NO  8879207
;14/01/2025;LE ROI DES CHANTIERS;SOGEM TP;8.270.500,00;Chèque;Validé;BGFI LRC;;SOGEM TP;;CHEQUE NO  8879204
;15/01/2025;LE ROI DES CHANTIERS;SARL AMIRA TRADING;140.000.000,00;Cash;Validé;CASH LE ROI DES CHANTIERS;;SARL AMIRA TRADING;;REGLEMENT 2eme ACOMPTE FACTURE 17F28082024 AMIRA // M.M. COMI
;16/01/2025;LE ROI DES CHANTIERS;SARL AMIRA TRADING;30.000.000,00;Cash;Validé;CASH LE ROI DES CHANTIERS;;SARL AMIRA TRADING;;SOLDE FACTURE 17F28082024 AMIRA TRADING // MR COMI 
;16/01/2025;LE ROI DES CHANTIERS;TRACTAFRIC EQUIPMENT GABON;3.799.755,00;Chèque;Validé;BGFI LRC;;TRACTAFRIC EQUIPMENT GABON;;CHEQUE NO  8879203
;16/01/2025;LE ROI DES CHANTIERS;GABON MECA;2.524.008,00;Chèque;Validé;BGFI LRC;;GABON MECA;;CHEQUE NO  8879210
;17/01/2025;LE ROI DES CHANTIERS;SCI ADRIANA & KURTHYS;2.518.600,00;Chèque;Validé;BGFI LRC;;SCI ADRIANA & KURTHYS;;RETRAIT CH 8879222
;17/01/2025;LE ROI DES CHANTIERS;TL2 SERVICES;1.098.000,00;Chèque;Validé;BGFI LRC;;TL2 SERVICES;;RETRAIT CH 8879221
;17/01/2025;LE ROI DES CHANTIERS;ELITE PROTECTION SECURITE;3.925.000,00;Chèque;Validé;BGFI LRC;;ELITE PROTECTION SECURITE;;CHEQUE NO  8879214
;24/01/2025;LE ROI DES CHANTIERS;SUNU ASSURANCES;3.433.121,00;Chèque;Validé;ORABANK LRC;;SUNU ASSURANCES;;CHQ no. 5296058 Banque: BGFI Bank Gabon SUNU ASSURANCES IARD GABON
;31/01/2025;LE ROI DES CHANTIERS;SARL PRIMEDIA GABON;50.000.000,00;Cash;Validé;CASH LE ROI DES CHANTIERS;;SARL PRIMEDIA GABON;;REGLEMENT FRE PRIMEDIA 1ER ACOMPTE // M. ALI
;01/02/2025;LE ROI DES CHANTIERS;SCI ADRIANA & KURTHYS;4.000.000,00;Cash;Validé;CASH LE ROI DES CHANTIERS;;SCI ADRIANA & KURTHYS;;REGLEMENT FACTURE LOYERS COLLABORATEURS TUNIS // M. RICHARD
;03/02/2025;LE ROI DES CHANTIERS;GIPA GABONAISE D'IMPRIMERIE ET DE PAPETERIE SA;844.600,00;Chèque;Validé;BGFI LRC;;GIPA GABONAISE D'IMPRIMERIE ET DE PAPETERIE SA;;CHEQUE NO  8879145
;07/02/2025;LE ROI DES CHANTIERS;TRACTAFRIC EQUIPMENT GABON;35.845.556,00;Traite;Validé;AFG LRC;;TRACTAFRIC EQUIPMENT GABON;;EFFETS A L'ENCAISSEMENT- REGLEMENT
;14/02/2025;LE ROI DES CHANTIERS;LV EQUIPEMENT SERVICE;283.810.000,00;Virement;Validé;BGFI LRC;;LV EQUIPEMENT SERVICE;;VIR.EMIS  LV EQUIPEMENT SERVIC
;14/02/2025;LE ROI DES CHANTIERS;GEOFOND;23.406.110,00;Chèque;Validé;BGFI LRC;;GEOFOND;;CHEQUE NO  8879142
;14/02/2025;LE ROI DES CHANTIERS;PIECES EQUIP'AUTO SA;1.661.971,00;Chèque;Validé;BGFI LRC;;PIECES EQUIP'AUTO SA;;CHEQUE NO  8879151
;14/02/2025;LE ROI DES CHANTIERS;SOGADIM;6.245.500,00;Chèque;Validé;BGFI LRC;;SOGADIM;;CHEQUE NO  8879111
;15/02/2025;LE ROI DES CHANTIERS;GROUPE GABON BUSINESS INTERNATIONAL GGBI;10.000.000,00;Cash;Validé;CASH LE ROI DES CHANTIERS;;GROUPE GABON BUSINESS INTERNATIONAL GGBI;;REGLEMENT FACTURE N 24/GGBI/F/00212 // M IBOUILI
;17/02/2025;LE ROI DES CHANTIERS;ENTREPRISE INDIVIDUELLE ETUDE ME BIYENGOU AGNES;2.770.215,00;Chèque;Validé;BGFI LRC;;ENTREPRISE INDIVIDUELLE ETUDE ME BIYENGOU AGNES;;RETRAIT CH 8879051
;17/02/2025;LE ROI DES CHANTIERS;CEBEV & BTP;3.817.396,00;Chèque;Validé;BGFI LRC;;CEBEV & BTP;;CHEQUE NO  8879109
;17/02/2025;LE ROI DES CHANTIERS;ISTORE;10.724.000,00;Chèque;Validé;BGFI LRC;;ISTORE;;CHEQUE NO  8879116
;17/02/2025;LE ROI DES CHANTIERS;SODIM TP;29.900.000,00;Traite;Validé;AFG LRC;;SODIM TP;;EFFETS A L'ENCAISSEMENT- REGLEMENT
;18/02/2025;LE ROI DES CHANTIERS;S BAC IMMO;11.540.000,00;Chèque;Validé;BGFI LRC;;S BAC IMMO;;RETRAIT CH 8879047
;18/02/2025;LE ROI DES CHANTIERS;OBONE NDONG DENISE EPSE ASSOGBA;1.920.000,00;Chèque;Validé;BGFI LRC;;OBONE NDONG DENISE EPSE ASSOGBA;;RETRAIT CH 8879120
;18/02/2025;LE ROI DES CHANTIERS;LEILA LOGISTIQUE;4.000.000,00;Chèque;Validé;BGFI LRC;;LEILA LOGISTIQUE;;RETRAIT CH 8879124
;18/02/2025;LE ROI DES CHANTIERS;GROUPE GABON BUSINESS INTERNATIONAL GGBI;392.919.350,00;Virement;Validé;BGFI LRC;;GROUPE GABON BUSINESS INTERNATIONAL GGBI;;VIREMENT MUL AUTRE BQE
;18/02/2025;LE ROI DES CHANTIERS;JAD BETON;4.623.150,00;Chèque;Validé;BGFI LRC;;JAD BETON;;CHEQUE NO  8879117
;18/02/2025;LE ROI DES CHANTIERS;SODIM TP;30.340.917,00;Chèque;Validé;BGFI LRC;;SODIM TP;;CHEQUE NO  8879132
;18/02/2025;LE ROI DES CHANTIERS;SODIM TP;76.812.002,00;Chèque;Validé;BGFI LRC;;SODIM TP;;CHEQUE NO  8879139
;18/02/2025;LE ROI DES CHANTIERS;SODIM TP;76.812.002,00;Chèque;Validé;BGFI LRC;;SODIM TP;;CHEQUE NO  8879138
;18/02/2025;LE ROI DES CHANTIERS;SODIM TP;76.812.002,00;Chèque;Validé;BGFI LRC;;SODIM TP;;CHEQUE NO  8879130
;18/02/2025;LE ROI DES CHANTIERS;SODIM TP;76.812.002,00;Chèque;Validé;BGFI LRC;;SODIM TP;;CHEQUE NO  8879131
;19/02/2025;LE ROI DES CHANTIERS;SUNU ASSURANCES;712.067,00;Chèque;Validé;BGFI LRC;;SUNU ASSURANCES;;CHEQUE NO  8879043
;19/02/2025;LE ROI DES CHANTIERS;GABON MECA;7.623.742,00;Chèque;Validé;BGFI LRC;;GABON MECA;;CHEQUE NO  8879144
;19/02/2025;LE ROI DES CHANTIERS;MEV HEBERGEMENT;5.507.500,00;Chèque;Validé;BGFI LRC;;MEV HEBERGEMENT;;CHEQUE NO  8879100
;19/02/2025;LE ROI DES CHANTIERS;SCI ADRIANA & KURTHYS;3.500.000,00;Chèque;Validé;BGFI LRC;;SCI ADRIANA & KURTHYS;;CHEQUE NO  8879093
;28/02/2025;LE ROI DES CHANTIERS;GROUPE GABON BUSINESS INTERNATIONAL GGBI;5.000.000,00;Cash;Validé;CASH LE ROI DES CHANTIERS;;GROUPE GABON BUSINESS INTERNATIONAL GGBI;;REGLEMENT FACTURE GGBI // M IBOUILI
;10/03/2025;LE ROI DES CHANTIERS;LIBREMAT SARL;40.000.000,00;Chèque;Validé;BGFI LRC;;LIBREMAT SARL;;RETRAIT CH 8879114 MAPAPA FAY
;10/03/2025;LE ROI DES CHANTIERS;TRACTAFRIC EQUIPMENT GABON;30.150.736,00;Traite;Validé;AFG LRC;;TRACTAFRIC EQUIPMENT GABON;;EFFETS A L'ENCAISSEMENT- REGLEMENT
;10/03/2025;LE ROI DES CHANTIERS;SODIM TP;29.900.000,00;Traite;Validé;AFG LRC;;SODIM TP;;EFFETS A L'ENCAISSEMENT- REGLEMENT
;10/03/2025;LE ROI DES CHANTIERS;CREDIT BAIL AFG;467.258.472,00;Opération bancaire;Validé;AFG LRC;;CREDIT BAIL AFG;;VIREMENT REGLEMENT LOYER  CREDIT BAIL
;11/03/2025;LE ROI DES CHANTIERS;TRACTAFRIC EQUIPMENT GABON;35.845.556,00;Traite;Validé;AFG LRC;;TRACTAFRIC EQUIPMENT GABON;;EFFETS A L'ENCAISSEMENT- REGLEMENT
;13/03/2025;LE ROI DES CHANTIERS;TRACTAFRIC EQUIPMENT GABON;35.845.556,00;Traite;Validé;AFG LRC;;TRACTAFRIC EQUIPMENT GABON;;EFFETS A L'ENCAISSEMENT- REGLEMENT
;14/03/2025;LE ROI DES CHANTIERS;SOGEM TP;22.000.000,00;Virement;Validé;AFG LRC;;SOGEM TP;;VIREMENT PAIEMENT CH 0000518
;20/03/2025;LE ROI DES CHANTIERS;Toilettes Express BTP;2.194.000,00;Chèque;Validé;BGFI LRC;;Toilettes Express BTP;;RETRAIT CH 8878928
;20/03/2025;LE ROI DES CHANTIERS;BAMBA RASSOUL;14.648.000,00;Chèque;Validé;BGFI LRC;;BAMBA RASSOUL;;RETRAIT CH 8879017
;20/03/2025;LE ROI DES CHANTIERS;ASHLEY BTP;40.000.000,00;Chèque;Validé;BGFI LRC;;ASHLEY BTP;;RETRAIT CH 8879010
;20/03/2025;LE ROI DES CHANTIERS;CISSOKO ALFOUSSEYNI;4.180.000,00;Chèque;Validé;BGFI LRC;;CISSOKO ALFOUSSEYNI;;RETRAIT CH 8879012
;20/03/2025;LE ROI DES CHANTIERS;APE;3.277.000,00;Chèque;Validé;BGFI LRC;;APE;;RETRAIT CH 8878814
;20/03/2025;LE ROI DES CHANTIERS;LIBREMAT SARL;5.000.000,00;Chèque;Validé;BGFI LRC;;LIBREMAT SARL;;RETRAIT CH 8879018
;20/03/2025;LE ROI DES CHANTIERS;GABOIL;138.600.000,00;Virement;Validé;BGFI LRC;;GABOIL;;GAB'  OIL
;20/03/2025;LE ROI DES CHANTIERS;GABOIL;105.997.000,00;Virement;Validé;BGFI LRC;;GABOIL;;GAB'  OIL
;20/03/2025;LE ROI DES CHANTIERS;SARL PRIMEDIA GABON;350.000.000,00;Virement;Validé;BGFI LRC;;SARL PRIMEDIA GABON;;VIR.EMIS  PRIMEDIA GABON
;20/03/2025;LE ROI DES CHANTIERS;LV EQUIPEMENT SERVICE;500.000.000,00;Virement;Validé;BGFI LRC;;LV EQUIPEMENT SERVICE;;VIR.EMIS  LV EQUIPEMENT SERVIC
;20/03/2025;LE ROI DES CHANTIERS;SOCIETE MAISSA ARCHITECTURES;399.999.100,00;Virement;Validé;BGFI LRC;;SOCIETE MAISSA ARCHITECTURES;;VIR.EMIS  MAISSA ARCHITECTURES
;20/03/2025;LE ROI DES CHANTIERS;EFTC - ENTREPRISE FAMILLE TEMBEKA CONSTRUCTION;54.950.000,00;Virement;Validé;BGFI LRC;;EFTC - ENTREPRISE FAMILLE TEMBEKA CONSTRUCTION;;VIR.EMIS  EFTC
;20/03/2025;LE ROI DES CHANTIERS;EPC - EXPLOSIFS ET PRODUITS CHIMIQUES GABON;23.993.121,00;Virement;Validé;BGFI LRC;;EPC - EXPLOSIFS ET PRODUITS CHIMIQUES GABON;;VIR.EMIS  EPC GABON SARL
;20/03/2025;LE ROI DES CHANTIERS;EBTP, Entreprise Bâtiment et Travaux Publics;387.515.889,00;Virement;Validé;BGFI LRC;;EBTP, Entreprise Bâtiment et Travaux Publics;;VIREMENT MUL AUTRE BQE
;20/03/2025;LE ROI DES CHANTIERS;OUVRAGES STRUCTURES INGENIERIE;13.500.075,00;Chèque;Validé;BGFI LRC;;OUVRAGES STRUCTURES INGENIERIE;;CHEQUE NO  8878937
;20/03/2025;LE ROI DES CHANTIERS;GARAGE SERVICES PRO;6.225.170,00;Chèque;Validé;BGFI LRC;;GARAGE SERVICES PRO;;CHEQUE NO  8878953
;20/03/2025;LE ROI DES CHANTIERS;SOGEM TP;3.856.354,00;Chèque;Validé;BGFI LRC;;SOGEM TP;;CHEQUE NO  8879022
;21/03/2025;LE ROI DES CHANTIERS;FREDY GROUP;5.600.000,00;Chèque;Validé;BGFI LRC;;FREDY GROUP;;RETRAIT CH 8879001
;21/03/2025;LE ROI DES CHANTIERS;TAF AGRO UNIVERSEL;40.000.000,00;Chèque;Validé;BGFI LRC;;TAF AGRO UNIVERSEL;;CHEQUE NO  8878929
;21/03/2025;LE ROI DES CHANTIERS;GROUPE GABON BUSINESS INTERNATIONAL GGBI;22.818.118,00;Chèque;Validé;BGFI LRC;;GROUPE GABON BUSINESS INTERNATIONAL GGBI;;CHEQUE NO  8879021
;24/03/2025;LE ROI DES CHANTIERS;ELITE PROTECTION SECURITE;3.925.000,00;Chèque;Validé;BGFI LRC;;ELITE PROTECTION SECURITE;;RETRAIT CH 8879004
;24/03/2025;LE ROI DES CHANTIERS;L'HABITAT;7.156.160,00;Chèque;Validé;BGFI LRC;;L'HABITAT;;RETRAIT CH 8879000
;24/03/2025;LE ROI DES CHANTIERS;LEONIE;2.159.750,00;Chèque;Validé;BGFI LRC;;LEONIE;;RETRAIT CH 8878809
;24/03/2025;LE ROI DES CHANTIERS;GIPA GABONAISE D'IMPRIMERIE ET DE PAPETERIE SA;3.900.500,00;Chèque;Validé;BGFI LRC;;GIPA GABONAISE D'IMPRIMERIE ET DE PAPETERIE SA;;CHEQUE NO  8879013
;24/03/2025;LE ROI DES CHANTIERS;Société Gabonaise de Sécurité Industrielle;1.405.388,00;Chèque;Validé;BGFI LRC;;Société Gabonaise de Sécurité Industrielle;;CHEQUE NO  8879166
;24/03/2025;LE ROI DES CHANTIERS;BRICORAMA;3.475.000,00;Chèque;Validé;BGFI LRC;;BRICORAMA;;CHEQUE NO  8878811
;25/03/2025;LE ROI DES CHANTIERS;AGIROUTE GABON;7.177.226,00;Chèque;Validé;BGFI LRC;;AGIROUTE GABON;;RETRAIT CH 8878958
;25/03/2025;LE ROI DES CHANTIERS;DIAWARA ET FILS;900.000,00;Chèque;Validé;BGFI LRC;;DIAWARA ET FILS;;CHEQUE NO  8878996
;25/03/2025;LE ROI DES CHANTIERS;GARAGE SERVICES PRO;1.700.000,00;Chèque;Validé;BGFI LRC;;GARAGE SERVICES PRO;;CHEQUE NO  8878941
;26/03/2025;LE ROI DES CHANTIERS;STRAIGHTLINE DETAILING;6.159.000,00;Chèque;Validé;BGFI LRC;;STRAIGHTLINE DETAILING;;CHEQUE NO  8878934
;26/03/2025;LE ROI DES CHANTIERS;SOLUGEO;2.287.500,00;Chèque;Validé;BGFI LRC;;SOLUGEO;;CHEQUE NO  8878798
;26/03/2025;LE ROI DES CHANTIERS;SCI Celine;2.120.000,00;Chèque;Validé;BGFI LRC;;SCI Celine;;CHEQUE NO  8879075
;26/03/2025;LE ROI DES CHANTIERS;MECANO AUTO DESIGN;3.492.000,00;Chèque;Validé;BGFI LRC;;MECANO AUTO DESIGN;;CHEQUE NO  8878944
;27/03/2025;LE ROI DES CHANTIERS;BATIPLUS;50.000.000,00;Virement;Validé;BGFI LRC;;BATIPLUS;;PAIEMENT AVAL/TRAITE   926916
;27/03/2025;LE ROI DES CHANTIERS;BERNABE GABON SA;50.000.000,00;Virement;Validé;BGFI LRC;;BERNABE GABON SA;;PAIEMENT AVAL/TRAITE   926918
;27/03/2025;LE ROI DES CHANTIERS;TRACTAFRIC EQUIPMENT GABON;50.000.000,00;Virement;Validé;BGFI LRC;;TRACTAFRIC EQUIPMENT GABON;;PAIEMENT AVAL/TRAITE   926920
;28/03/2025;LE ROI DES CHANTIERS;SOGEM TP;70.000.000,00;Virement;Validé;BGFI LRC;;SOGEM TP;;PAIEMENT AVAL/TRAITE   926923
;01/04/2025;LE ROI DES CHANTIERS;LIBREMAT SARL;10.000.000,00;Chèque;Validé;BGFI LRC;;LIBREMAT SARL;;RETRAIT CH 8878820 MAPAPA FAY
;01/04/2025;LE ROI DES CHANTIERS;SEEG - SOCIETE D’ENERGIE ET D’EAU DU GABON;4.970.232,00;Chèque;Validé;BGFI LRC;;SEEG - SOCIETE D’ENERGIE ET D’EAU DU GABON;;RETRAIT CH 8879019
;01/04/2025;LE ROI DES CHANTIERS;SUNU ASSURANCES;2.632.500,00;Chèque;Validé;BGFI LRC;;SUNU ASSURANCES;;CHEQUE NO  8878959
;01/04/2025;LE ROI DES CHANTIERS;OGAR ASSURANCES;6.184.720,00;Chèque;Validé;BGFI LRC;;OGAR ASSURANCES;;CHEQUE NO  8878960
;01/04/2025;LE ROI DES CHANTIERS;ATLANTIC MACHINERY MANUFACTURING;40.037.647,00;Virement;Validé;BGFI LRC;;ATLANTIC MACHINERY MANUFACTURING;;VIR.ETR.  04170 TRF17172270
;01/04/2025;LE ROI DES CHANTIERS;ATLANTIC MACHINERY MANUFACTURING;42.620.806,00;Virement;Validé;BGFI LRC;;ATLANTIC MACHINERY MANUFACTURING;;VIR.ETR.  04170 TRF17172273
;02/04/2025;LE ROI DES CHANTIERS;GRAND TRANSPORT DU NORD;7.735.000,00;Chèque;Validé;BGFI LRC;;GRAND TRANSPORT DU NORD;;CHEQUE NO  8878940
;07/04/2025;LE ROI DES CHANTIERS;TAPIS ROUGE EVENT;2.796.450,00;Chèque;Validé;BGFI LRC;;TAPIS ROUGE EVENT;;RETRAIT CH 8878826 NDZE MADAN
;07/04/2025;LE ROI DES CHANTIERS;LA CENTRALE DES MATERIAUX;33.778.225,00;Chèque;Validé;BGFI LRC;;LA CENTRALE DES MATERIAUX;;CHEQUE NO  8878831
;07/04/2025;LE ROI DES CHANTIERS;LV EQUIPEMENT SERVICE;38.380.000,00;Chèque;Validé;BGFI LRC;;LV EQUIPEMENT SERVICE;;CHEQUE NO  8878969
;07/04/2025;LE ROI DES CHANTIERS;GRAND TRANSPORT DU NORD;1.310.000,00;Chèque;Validé;BGFI LRC;;GRAND TRANSPORT DU NORD;;CHEQUE NO  8878833
;08/04/2025;LE ROI DES CHANTIERS;SOGEM TP;1.451.800,00;Chèque;Validé;BGFI LRC;;SOGEM TP;;CHEQUE NO  8878827
;09/04/2025;LE ROI DES CHANTIERS;CREDIT BAIL AFG;77.876.412,00;Opération bancaire;Validé;AFG LRC;;CREDIT BAIL AFG;;VIREMENT REGLEMENT LOYER  CREDIT BAIL
